用例ID,模块,用例标题,前置条件,操作步骤,预期结果,优先级,类型,执行方式,实际结果,状态,备注
TC-0101,记录写入,八栏结构完整且顺序正确,无,进入记录页，查看栏位,渲染8栏：①事件 ②想法感受 ③行动 ④结果 | ①-A ② ③ | ①-B,P0,功能,自动,八栏编号齐全,Pass,
TC-0102,记录写入,左右两栏：第一步在左、第二步在右,无,桌面宽度下进入记录页,第一步4栏在左列，第二步3栏+①-B在右列,P0,功能,自动,左第一步 / 右第二步,Pass,
TC-0103,记录写入,三栏必填校验：缺必填时弹温和确认,无,只写①点保存,"弹出""就先这样保存吗""二次确认，可选""回去补上""",P0,功能,自动,弹出温和确认,Pass,
TC-0104,记录写入,必填齐全时直接保存并进入正反馈,无,写完①②①-A点保存,无弹窗，直接保存并跳转正反馈页,P0,功能,自动,直接保存进正反馈,Pass,
TC-0105,记录写入,切分检测-事实栏命中主观词时提示,无,"①栏输入""我觉得很糟糕""",显示温和提示，建议挪到②栏,P0,功能,自动,命中 3 个主观词,Pass,
TC-0106,记录写入,切分检测-客观事实不误报,无,①栏输入纯客观叙述,不出现任何提示,P0,功能,自动,无误报,Pass,
TC-0107,记录写入,切分检测-行动栏命中依赖他人表述,无,"⑥栏输入""希望对方能理解我""","提示改成""我计划…""这类自己能做到的表述",P0,功能,自动,命中依赖他人表述,Pass,
TC-0108,记录写入,情绪轮盘默认收起，可展开24个色块,无,"点""不知道怎么表达""",展开SVG轮盘，8主情绪×3强度=24词，点选插入②栏,P1,功能,自动,轮盘展开，24个色块,Pass,
TC-0109,记录写入,输入即存草稿,无,在①栏输入内容后等待防抖,自动写入localStorage，中途离开不丢失,P0,功能,自动,草稿已落盘,Pass,
TC-0110,记录写入,①-B常驻展开不折叠，三个引导问题可见,无,查看记录页①-B栏,①-B不折叠，三问直接显示在卡片内,P1,功能,自动,三问常驻可见,Pass,
TC-0201,多条目,一天可记录多条，无上限,无,"连续点""再记一条"" 9 次",均可创建成功，无上限拦截,P0,功能,自动,可创建9条,Pass,
TC-0202,多条目,顶部条目指示与左右切换,当天有3条,在记录页点左右箭头,"显示""今天第N条·共M条""，可前后切换且首尾不越界",P0,功能,自动,切换正常，末条不越界,Pass,
TC-0203,多条目,"★详情页""编辑这条""按钮可进入编辑",当天有2条,"点第2条的""编辑这条""",进入记录页并回填该条内容,P0,功能,自动,成功编辑第2条,Pass,
TC-0204,多条目,★v1.1遗留数据(数字id)可编辑,存在v1.1创建的记录,"点""编辑这条""",应能正常进入编辑（当前静默失败）,P0,兼容,自动,点击无反应（静默失败）,Fail,v1.1的id为number类型，渲染到onclick变string，findEntry用===比较失败
TC-0205,多条目,★v1.1遗留数据(数字id)可删除,存在v1.1创建的记录,"点""删除这条""并确认",应能正常删除（当前静默失败）,P0,兼容,自动,删除无效（1→1）,Fail,与TC-0204同源：id类型不一致导致===匹配失败
TC-0206,多条目,删除单条不影响同日其它条目,当天有3条,删除第2条,仅第2条消失，第1、3条内容完整,P0,功能,自动,仅删除目标条,Pass,
TC-0207,多条目,空白条目离开时自动清理,新建条目未写字,进记录页后点返回,空白条目被清理，不留空壳,P1,功能,自动,空条目已清理,Pass,
TC-0208,多条目,新条目id互不相同,无,连续创建10条,10个id全不重复,P1,功能,自动,10个id唯一,Pass,
TC-0301,回看-月历,月历一屏可见整月,无,进入月历视图,整月31天在一屏内显示完整，无需滚动查看全月,P0,视觉,自动,格子限高52px、容器限宽420px,Pass,
TC-0302,回看-月历,月末补位格不出现NaN,无,逐月切换查看,补位格显示上月正确日期，无NaN,P0,功能,自动,60个月均无NaN,Pass,
TC-0303,回看-月历,无记录日期无任何缺失标记,无,查看月历空白日期,留纯空白，无叉号/红点等缺失标记,P0,功能,自动,空白日期无缺失标记,Pass,
TC-0304,回看-月历,多条时圆点下方显示条数角标,当天有3条,查看月历该日,"圆点下方显示""3""",P1,功能,自动,显示角标3,Pass,
TC-0305,回看-月历,未来月份不可切换,无,点右箭头切换到未来,右箭头置灰不可点,P1,功能,自动,未来月不可前进,Pass,
TC-0401,回看-清单,清单按日期倒序分组,当月多天有记录,切到清单视图,最近的日期在最上方，按天分组,P0,功能,自动,倒序正确,Pass,
TC-0402,回看-清单,条目标题优先取①事件栏,条目有事件内容,查看清单,标题显示①栏内容,P1,功能,自动,取①栏,Pass,
TC-0403,回看-清单,①栏为空时标题回退①-A,①栏空、①-A有内容,查看清单,标题显示①-A内容,P1,功能,自动,回退①-A,Pass,
TC-0404,回看-清单,全空条目显示占位文案,条目所有栏都空,查看清单,"显示""（还没写内容）""",P2,边界,自动,占位正确,Pass,
TC-0405,回看-清单,清单只显示当月，跨月严格过滤,存在上月记录,查看当月清单,不显示上个月的记录,P1,功能,自动,跨月过滤正确,Pass,
TC-0406,回看-清单,清单条目点击跳转编辑（含跨日期/跨月）,当月与上月均有记录,在清单中点某条,正确切换日期并进入编辑,P0,功能,自动,跨日期/跨月编辑均正常,Pass,
TC-0407,回看-清单,草稿条目有明确标记,存在草稿,查看清单,"显示""草稿""标签",P1,功能,自动,草稿已标记,Pass,
TC-0408,回看-清单,空月显示友好空态,当月无记录,查看清单,"显示""这个月还没有记录""，无催促",P2,边界,自动,空态友好,Pass,
TC-0501,正反馈,优先取①-B作为发现,①-B有内容,保存记录,"正反馈显示""我发现了""+①-B内容",P0,功能,自动,取①-B,Pass,
TC-0502,正反馈,①-B为空时回退①-A,①-B空、①-A有内容,保存记录,"显示""我重新注意到了""+①-A内容",P0,功能,自动,回退①-A,Pass,
TC-0503,正反馈,两者皆空时兜底且不编造,①②外全空,保存记录,显示中性兜底语，绝不生成未写过的内容,P0,功能,自动,兜底不编造,Pass,
TC-0504,正反馈,"正反馈页提供""再记一条""入口",刚保存完,查看正反馈页,"有""再记一条（第N条）""按钮",P1,功能,自动,有再记一条,Pass,
TC-0601,存储,数据写入localStorage并生成备份层,无,保存一条记录,review_records 与 review_backup 均写入,P0,功能,自动,主数据与备份层均已写,Pass,
TC-0602,存储,刷新后数据可恢复,已有数据,重新加载,loadAll后记录仍在,P0,功能,自动,数据已恢复,Pass,
TC-0603,同步,云同步按条目id合并，不互相覆盖,两端各有数据,拉取远端数据,同一天多条全部保留，不因date相同而覆盖,P0,功能,自动,3条全保留,Pass,
TC-0604,同步,同id取updatedAt较新,同一条两端都改过,拉取远端,保留较新版本,P0,功能,自动,取较新,Pass,
TC-0605,同步,较旧数据不覆盖较新数据,远端数据更旧,拉取远端,保留本地较新版本,P0,功能,自动,旧值未覆盖,Pass,
TC-0606,同步,导出JSON包含全部条目,有多天多条记录,点导出JSON,导出的数组包含所有条目,P1,功能,自动,导出3条,Pass,
TC-0607,同步,"兼容旧版""按date分组""的导出格式",导入旧格式JSON,执行导入,正确识别并导入,P1,兼容,自动,旧格式兼容,Pass,
TC-0701,数据迁移,"旧版""单条对象""自动升级为数组",存在旧格式数据,加载应用,自动转为数组，补齐id与缺失字段,P0,兼容,自动,迁移成功并补齐字段,Pass,
TC-0702,数据迁移,★迁移后id类型与新建一致,存在旧版数字id数据,加载应用,id统一为string，避免===匹配失败,P0,兼容,自动,id仍为 number,Fail,number类型的id渲染进onclick变string，findEntry用===比较会失败
TC-0703,数据迁移,★findEntry对数字/字符串id均可匹配,存在数字id条目,按id查找,无论id是数字还是字符串都能找到,P0,兼容,自动,数字:true 字符串:false,Fail,当前仅一种类型能匹配，导致另一路径静默失败
TC-0704,数据迁移,空值与脏数据被过滤,存在null条目,加载应用,null/非对象条目被过滤，不崩溃,P2,边界,自动,脏数据已过滤,Pass,
TC-0801,安全,用户输入XSS被转义,①栏输入<script>,保存并查看详情,原样显示为文本，不执行,P0,安全,自动,已转义,Pass,
TC-0802,安全,清单标题中的尖括号被转义,条目含HTML,查看清单,显示为文本,P0,安全,自动,清单已转义,Pass,
TC-0803,边界,超长文本不破坏布局,某栏输入5000字,保存并查看,正常换行显示，不溢出,P1,边界,自动,超长文本正常渲染,Pass,
TC-0804,边界,特殊字符不破坏onclick,条目内容含引号,查看详情并点编辑,按钮正常工作,P1,边界,自动,特殊字符不影响按钮,Pass,
TC-0805,边界,闰年2月29日正确处理,系统日期跨闰年,切换月份,日期计算正确,P2,边界,自动,闰年正确,Pass,
TC-0806,边界,跨年日期正确,系统日期跨年,切换月份,12月→1月正确跨年,P1,边界,自动,跨年正确,Pass,
TC-0901,全页扫描,所有页面渲染无NaN,有各类数据,遍历所有页面,不出现NaN,P0,功能,自动,10个页面视图均无NaN,Pass,
TC-0902,全页扫描,所有页面渲染无undefined,有各类数据,遍历所有页面,不出现undefined字样,P0,功能,自动,10个页面视图均无undefined,Pass,
